Model,Class/Metric,precision,recall,f1-score,support
MFCC CNN (256),anger,0.8264462809917356,0.8064516129032258,0.8163265306122449,372.0
MFCC CNN (256),disgust,0.7409326424870466,0.697560975609756,0.7185929648241206,410.0
MFCC CNN (256),fear,0.6954022988505747,0.6470588235294118,0.6703601108033241,374.0
MFCC CNN (256),happiness,0.696969696969697,0.7588832487309645,0.7266099635479951,394.0
MFCC CNN (256),neutral,0.7527777777777778,0.7612359550561798,0.7569832402234636,356.0
MFCC CNN (256),sadness,0.6581632653061225,0.712707182320442,0.6843501326259946,362.0
MFCC CNN (256),surprise,0.9568965517241379,0.8809523809523809,0.9173553719008265,126.0
MFCC CNN (256),accuracy,0.7380952380952381,0.7380952380952381,0.7380952380952381,0.7380952380952381
MFCC CNN (256),macro avg,0.7610840734438702,0.7521214541574801,0.7557969020768527,2394.0
MFCC CNN (256),weighted avg,0.740484493221277,0.7380952380952381,0.7385560361042879,2394.0
