Model,Class/Metric,precision,recall,f1-score,support
MFCC CRNN (96),anger,0.7918781725888325,0.8387096774193549,0.814621409921671,372.0
MFCC CRNN (96),disgust,0.6262230919765166,0.7804878048780488,0.6948968512486428,410.0
MFCC CRNN (96),fear,0.7167235494880546,0.5614973262032086,0.6296851574212894,374.0
MFCC CRNN (96),happiness,0.8039867109634552,0.6142131979695431,0.6964028776978417,394.0
MFCC CRNN (96),neutral,0.7131147540983607,0.7331460674157303,0.7229916897506925,356.0
MFCC CRNN (96),sadness,0.6440677966101694,0.7348066298342542,0.6864516129032258,362.0
MFCC CRNN (96),surprise,0.9051724137931034,0.8333333333333334,0.8677685950413223,126.0
MFCC CRNN (96),accuracy,0.7167919799498746,0.7167919799498746,0.7167919799498746,0.7167919799498746
MFCC CRNN (96),macro avg,0.7430237842169275,0.7280277195790675,0.7304025991406693,2394.0
MFCC CRNN (96),weighted avg,0.7256594145828654,0.7167919799498746,0.7155602441891137,2394.0
