Model,Class/Metric,precision,recall,f1-score,support
Mel CNN (128),anger,0.7908847184986595,0.793010752688172,0.7919463087248322,372.0
Mel CNN (128),disgust,0.7418478260869565,0.6658536585365854,0.7017994858611826,410.0
Mel CNN (128),fear,0.6441176470588236,0.5855614973262032,0.6134453781512605,374.0
Mel CNN (128),happiness,0.6925064599483204,0.6802030456852792,0.6862996158770807,394.0
Mel CNN (128),neutral,0.7358490566037735,0.7668539325842697,0.7510316368638239,356.0
Mel CNN (128),sadness,0.5926773455377574,0.7154696132596685,0.6483103879849812,362.0
Mel CNN (128),surprise,0.8728813559322034,0.8174603174603174,0.8442622950819673,126.0
Mel CNN (128),accuracy,0.7059314954051796,0.7059314954051796,0.7059314954051796,0.7059314954051796
Mel CNN (128),macro avg,0.724394915666642,0.7177732596486421,0.719585015506447,2394.0
Mel CNN (128),weighted avg,0.7095274783959318,0.7059314954051796,0.7061842558426382,2394.0
