Model,Class/Metric,precision,recall,f1-score,support
Mel CNN,anger,0.8560606060606061,0.8052256532066508,0.8298653610771114,421.0
Mel CNN,disgust,0.6572237960339944,0.6705202312138728,0.6638054363376252,346.0
Mel CNN,fear,0.7108433734939759,0.6210526315789474,0.6629213483146067,380.0
Mel CNN,happiness,0.6884816753926701,0.6957671957671958,0.6921052631578948,378.0
Mel CNN,neutral,0.7085427135678392,0.7540106951871658,0.7305699481865285,374.0
Mel CNN,sadness,0.6159420289855072,0.6781914893617021,0.6455696202531646,376.0
Mel CNN,surprise,0.8991596638655462,0.8991596638655462,0.8991596638655462,119.0
Mel CNN,accuracy,0.7159565580618212,0.7159565580618212,0.7159565580618212,0.7159565580618212
Mel CNN,macro avg,0.7337505510571628,0.7319896514544402,0.731999520170354,2394.0
Mel CNN,weighted avg,0.7191966088464244,0.7159565580618212,0.7166011853201624,2394.0
MFCC CNN,anger,0.8325688073394495,0.8622327790973872,0.8471411901983664,421.0
MFCC CNN,disgust,0.7098765432098766,0.6647398843930635,0.6865671641791045,346.0
MFCC CNN,fear,0.6691358024691358,0.7131578947368421,0.6904458598726114,380.0
MFCC CNN,happiness,0.736986301369863,0.7116402116402116,0.7240915208613729,378.0
MFCC CNN,neutral,0.7249357326478149,0.7540106951871658,0.7391874180865007,374.0
MFCC CNN,sadness,0.6944444444444444,0.6648936170212766,0.6793478260869565,376.0
MFCC CNN,surprise,0.9391304347826087,0.907563025210084,0.9230769230769231,119.0
MFCC CNN,accuracy,0.7406015037593985,0.7406015037593985,0.7406015037593985,0.7406015037593985
MFCC CNN,macro avg,0.7581540094661704,0.754034015326576,0.7556939860516908,2394.0
MFCC CNN,weighted avg,0.7405909672335546,0.7406015037593985,0.7401886935404655,2394.0
MFCC CRNN,anger,0.8811369509043928,0.8099762470308789,0.844059405940594,421.0
MFCC CRNN,disgust,0.6883468834688347,0.7341040462427746,0.7104895104895105,346.0
MFCC CRNN,fear,0.6927083333333334,0.7,0.6963350785340314,380.0
MFCC CRNN,happiness,0.6824644549763034,0.7619047619047619,0.72,378.0
MFCC CRNN,neutral,0.7631578947368421,0.6978609625668449,0.729050279329609,374.0
MFCC CRNN,sadness,0.696,0.6941489361702128,0.6950732356857523,376.0
MFCC CRNN,surprise,0.9304347826086956,0.8991596638655462,0.9145299145299145,119.0
MFCC CRNN,accuracy,0.7426900584795322,0.7426900584795322,0.7426900584795322,0.7426900584795322
MFCC CRNN,macro avg,0.7620356142897717,0.7567363739687172,0.7585053463584874,2394.0
MFCC CRNN,weighted avg,0.7469365916544232,0.7426900584795322,0.7438542653673639,2394.0
