Model,Class/Metric,precision,recall,f1-score,support
MFCC CNN (12),anger,0.8310626702997275,0.8198924731182796,0.8254397834912043,372.0
MFCC CNN (12),disgust,0.7467700258397932,0.7048780487804878,0.7252195734002509,410.0
MFCC CNN (12),fear,0.7079646017699115,0.6417112299465241,0.6732117812061711,374.0
MFCC CNN (12),happiness,0.712401055408971,0.6852791878172588,0.6985769728331177,394.0
MFCC CNN (12),neutral,0.6985645933014354,0.8202247191011236,0.7545219638242894,356.0
MFCC CNN (12),sadness,0.6709511568123393,0.7209944751381215,0.6950732356857523,362.0
MFCC CNN (12),surprise,0.9043478260869565,0.8253968253968254,0.8630705394190872,126.0
MFCC CNN (12),accuracy,0.7355889724310777,0.7355889724310777,0.7355889724310777,0.7355889724310777
MFCC CNN (12),macro avg,0.7531517042170192,0.7454824227569458,0.747873407122839,2394.0
MFCC CNN (12),weighted avg,0.7378099168367708,0.7355889724310777,0.7353372499693741,2394.0
MFCC CRNN (12),anger,0.8179347826086957,0.8091397849462365,0.8135135135135135,372.0
MFCC CRNN (12),disgust,0.7167487684729064,0.7097560975609756,0.7132352941176471,410.0
MFCC CRNN (12),fear,0.6688102893890675,0.5561497326203209,0.6072992700729927,374.0
MFCC CRNN (12),happiness,0.7041884816753927,0.682741116751269,0.6932989690721649,394.0
MFCC CRNN (12),neutral,0.7265625,0.7837078651685393,0.754054054054054,356.0
MFCC CRNN (12),sadness,0.6137440758293838,0.7154696132596685,0.6607142857142857,362.0
MFCC CRNN (12),surprise,0.8842975206611571,0.8492063492063492,0.8663967611336032,126.0
MFCC CRNN (12),accuracy,0.7159565580618212,0.7159565580618212,0.7159565580618212,0.7159565580618212
MFCC CRNN (12),macro avg,0.7331837740909434,0.729452937073337,0.7297874496683231,2394.0
MFCC CRNN (12),weighted avg,0.7176178518251818,0.7159565580618212,0.7151758667550724,2394.0
MFCC CNN (13),anger,0.8337801608579088,0.8360215053763441,0.8348993288590604,372.0
MFCC CNN (13),disgust,0.7669376693766937,0.6902439024390243,0.7265725288831836,410.0
MFCC CNN (13),fear,0.6753623188405797,0.6229946524064172,0.6481223922114048,374.0
MFCC CNN (13),happiness,0.7048346055979644,0.7030456852791879,0.7039390088945362,394.0
MFCC CNN (13),neutral,0.7321428571428571,0.8061797752808989,0.767379679144385,356.0
MFCC CNN (13),sadness,0.6568627450980392,0.7403314917127072,0.6961038961038961,362.0
MFCC CNN (13),surprise,0.9210526315789473,0.8333333333333334,0.875,126.0
MFCC CNN (13),accuracy,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579
MFCC CNN (13),macro avg,0.7558532840704272,0.7474500494039875,0.750288119156638,2394.0
MFCC CNN (13),weighted avg,0.7390897278959297,0.7368421052631579,0.7366974968814536,2394.0
MFCC CRNN (13),anger,0.7838541666666666,0.8091397849462365,0.7962962962962963,372.0
MFCC CRNN (13),disgust,0.6851385390428212,0.6634146341463415,0.6741016109045849,410.0
