Model,Class/Metric,precision,recall,f1-score,support
Mel CNN (128),anger,0.7908847184986595,0.793010752688172,0.7919463087248322,372.0
Mel CNN (128),disgust,0.7418478260869565,0.6658536585365854,0.7017994858611826,410.0
Mel CNN (128),fear,0.6441176470588236,0.5855614973262032,0.6134453781512605,374.0
Mel CNN (128),happiness,0.6925064599483204,0.6802030456852792,0.6862996158770807,394.0
Mel CNN (128),neutral,0.7358490566037735,0.7668539325842697,0.7510316368638239,356.0
Mel CNN (128),sadness,0.5926773455377574,0.7154696132596685,0.6483103879849812,362.0
Mel CNN (128),surprise,0.8728813559322034,0.8174603174603174,0.8442622950819673,126.0
Mel CNN (128),accuracy,0.7059314954051796,0.7059314954051796,0.7059314954051796,0.7059314954051796
Mel CNN (128),macro avg,0.724394915666642,0.7177732596486421,0.719585015506447,2394.0
Mel CNN (128),weighted avg,0.7095274783959318,0.7059314954051796,0.7061842558426382,2394.0
MFCC CNN (12),anger,0.8162162162162162,0.8118279569892473,0.8140161725067385,372.0
MFCC CNN (12),disgust,0.7342857142857143,0.6268292682926829,0.6763157894736842,410.0
MFCC CNN (12),fear,0.6403508771929824,0.5855614973262032,0.611731843575419,374.0
MFCC CNN (12),happiness,0.6666666666666666,0.6598984771573604,0.6632653061224489,394.0
MFCC CNN (12),neutral,0.6930946291560103,0.7612359550561798,0.7255689424364123,356.0
MFCC CNN (12),sadness,0.6238317757009346,0.7375690607734806,0.6759493670886076,362.0
MFCC CNN (12),surprise,0.8536585365853658,0.8333333333333334,0.8433734939759037,126.0
MFCC CNN (12),accuracy,0.702172096908939,0.702172096908939,0.702172096908939,0.702172096908939
MFCC CNN (12),macro avg,0.7183006308291271,0.7166079355612124,0.7157458450256021,2394.0
MFCC CNN (12),weighted avg,0.704668853976379,0.702172096908939,0.7015367604847834,2394.0
MFCC CRNN (12),anger,0.7675,0.8252688172043011,0.7953367875647669,372.0
MFCC CRNN (12),disgust,0.711864406779661,0.6146341463414634,0.6596858638743456,410.0
MFCC CRNN (12),fear,0.8090909090909091,0.47593582887700536,0.5993265993265994,374.0
MFCC CRNN (12),happiness,0.6564705882352941,0.7081218274111675,0.6813186813186813,394.0
MFCC CRNN (12),neutral,0.7057356608478803,0.7949438202247191,0.7476882430647291,356.0
MFCC CRNN (12),sadness,0.5752577319587628,0.7707182320441989,0.6587957497048406,362.0
MFCC CRNN (12),surprise,0.926605504587156,0.8015873015873016,0.8595744680851064,126.0
MFCC CRNN (12),accuracy,0.7013366750208856,0.7013366750208856,0.7013366750208856,0.7013366750208856
MFCC CRNN (12),macro avg,0.736074971642809,0.7130299962414509,0.7145323418484385,2394.0
MFCC CRNN (12),weighted avg,0.7163163351517402,0.7013366750208856,0.6983674422110288,2394.0
MFCC CNN (13),anger,0.8221024258760108,0.8198924731182796,0.8209959623149394,372.0
MFCC CNN (13),disgust,0.7320954907161804,0.6731707317073171,0.7013977128335451,410.0
MFCC CNN (13),fear,0.6598240469208211,0.6016042780748663,0.6293706293706294,374.0
MFCC CNN (13),happiness,0.6616161616161617,0.6649746192893401,0.6632911392405063,394.0
MFCC CNN (13),neutral,0.7135416666666666,0.7696629213483146,0.7405405405405405,356.0
MFCC CNN (13),sadness,0.6377171215880894,0.7099447513812155,0.6718954248366014,362.0
MFCC CNN (13),surprise,0.8688524590163934,0.8412698412698413,0.8548387096774194,126.0
MFCC CNN (13),accuracy,0.7121971595655806,0.7121971595655806,0.7121971595655806,0.7121971595655806
MFCC CNN (13),macro avg,0.7279641960571891,0.7257885165984534,0.7260471598305973,2394.0
MFCC CNN (13),weighted avg,0.7133592548157695,0.7121971595655806,0.7118935414080712,2394.0
MFCC CRNN (13),anger,0.803763440860215,0.803763440860215,0.803763440860215,372.0
MFCC CRNN (13),disgust,0.7158469945355191,0.6390243902439025,0.6752577319587629,410.0
MFCC CRNN (13),fear,0.7256317689530686,0.5374331550802139,0.6175115207373272,374.0
MFCC CRNN (13),happiness,0.6485148514851485,0.6649746192893401,0.656641604010025,394.0
MFCC CRNN (13),neutral,0.6473551637279596,0.7219101123595506,0.6826029216467463,356.0
MFCC CRNN (13),sadness,0.5849889624724062,0.7320441988950276,0.6503067484662577,362.0
MFCC CRNN (13),surprise,0.8,0.7936507936507936,0.796812749003984,126.0
MFCC CRNN (13),accuracy,0.6875522138680034,0.6875522138680034,0.6875522138680034,0.6875522138680034
MFCC CRNN (13),macro avg,0.7037287402906168,0.6989715300541491,0.6975566738119027,2394.0
MFCC CRNN (13),weighted avg,0.6944122153447467,0.6875522138680034,0.6868579199099131,2394.0
MFCC CNN (14),anger,0.814621409921671,0.8387096774193549,0.8264900662251655,372.0
MFCC CNN (14),disgust,0.7526881720430108,0.6829268292682927,0.7161125319693095,410.0
MFCC CNN (14),fear,0.6861538461538461,0.5962566844919787,0.6380543633762518,374.0
MFCC CNN (14),happiness,0.6878172588832487,0.6878172588832487,0.6878172588832487,394.0
MFCC CNN (14),neutral,0.7057291666666666,0.7612359550561798,0.7324324324324324,356.0
